iter	Logloss
0	0.6866905828
1	0.6799836615
2	0.6728342221
3	0.666248397
4	0.6595897686
5	0.6546810788
6	0.6487830039
7	0.6431909332
8	0.6372170774
9	0.6321498738
10	0.6275276604
11	0.6223066623
12	0.6164676994
13	0.6115853486
14	0.6064456412
15	0.6025129482
16	0.5981549008
17	0.5931247594
18	0.5894029504
19	0.5856506825
20	0.5814828254
21	0.5771969619
22	0.5724477011
23	0.5689560892
24	0.5649408364
25	0.561518853
26	0.5581759261
27	0.5562869003
28	0.5524876162
29	0.5489841332
30	0.5455627835
31	0.5416800659
32	0.5376711248
33	0.5343239497
34	0.5309404403
35	0.5293932717
36	0.5265869065
37	0.5234407327
38	0.5203969985
39	0.5174171316
40	0.5146898728
41	0.5133555279
42	0.5108708351
43	0.5077928481
44	0.5058639002
45	0.5038010208
46	0.5013696654
47	0.499111649
48	0.4964961191
49	0.4941697073
50	0.4920243732
51	0.4894522617
52	0.4870621892
53	0.4849719617
54	0.4832674691
55	0.4811333856
56	0.479265247
57	0.4775103469
58	0.4757511524
59	0.4735895068
60	0.4715991566
61	0.4695399988
62	0.4678156426
63	0.4661355624
64	0.4642896866
65	0.4630466317
66	0.4612222315
67	0.4599319571
68	0.4583619154
69	0.4572465365
70	0.4558377032
71	0.4543531152
72	0.4532228169
73	0.4515769509
74	0.4503747319
75	0.4492172412
76	0.4477489986
77	0.4463320788
78	0.4447087147
79	0.4435252718
80	0.4423733785
81	0.4412409988
82	0.4403668993
83	0.4390895795
84	0.4380890222
85	0.4367908562
86	0.4355282326
87	0.4343782293
88	0.4331514612
89	0.4320198376
90	0.4306916911
91	0.4298018633
92	0.4288402713
93	0.4276088318
94	0.4264243987
95	0.4252911684
96	0.4244408618
97	0.4236572912
98	0.4228282296
99	0.421785258
100	0.4206670353
101	0.4195369936
102	0.4187138845
103	0.418313466
104	0.4172426168
105	0.4160177638
106	0.4151194923
107	0.4142807369
108	0.4133568083
109	0.412893984
110	0.412041814
111	0.4117153296
112	0.4111897535
113	0.4103227212
114	0.4094222857
115	0.4085157198
116	0.4080152895
117	0.4077616844
118	0.4071068652
119	0.4063788867
120	0.4057833393
121	0.4052349523
122	0.4046009679
123	0.4040556763
124	0.4038012837
125	0.4031956468
126	0.4022798043
127	0.4018499636
128	0.401409068
129	0.4006625596
130	0.4000493752
131	0.3991014848
132	0.3983991284
133	0.3980229979
134	0.3973696983
135	0.3966866029
136	0.3963567757
137	0.3958055294
138	0.3954719189
139	0.3948718653
140	0.3944053485
141	0.3938849486
142	0.3930702696
143	0.3927399274
144	0.3922916909
145	0.3916626547
146	0.3911474028
147	0.3904753236
148	0.3900499651
149	0.3895602748
150	0.3890617805
151	0.3884250723
152	0.3877319335
153	0.3874428295
154	0.3870925542
155	0.3868104835
156	0.3864357343
157	0.3862147304
158	0.3855819361
159	0.3850610375
160	0.3846349074
161	0.3841905242
162	0.3836108592
163	0.383280485
164	0.3828308658
165	0.3826868083
166	0.3823530493
167	0.3819965232
168	0.38178227
169	0.3812854107
170	0.3807982319
171	0.3803353472
172	0.3798914586
173	0.3794792823
174	0.3791377792
175	0.3787099666
176	0.3783981611
177	0.3779911915
178	0.3775670734
179	0.3770246436
180	0.3767733276
181	0.3765608381
182	0.3764659011
183	0.3761340249
184	0.3756103171
185	0.3751267415
186	0.3747515531
187	0.3744866161
188	0.3739749696
189	0.3736823803
190	0.3733628927
191	0.3731256435
192	0.3728116662
193	0.3725512796
194	0.3721716767
195	0.371751662
196	0.3713674646
197	0.3709394226
198	0.3706423833
199	0.3703208707
200	0.3700910186
201	0.3695698991
