iter	Passed	Remaining
492	649	667
493	650	666
494	651	665
495	653	663
496	654	662
497	655	661
498	657	659
499	658	658
500	659	656
501	660	655
502	662	654
503	663	653
504	665	651
505	666	650
506	667	649
507	668	647
508	670	646
509	671	645
510	672	643
511	673	642
512	675	641
513	677	640
514	679	639
515	680	638
516	681	636
517	683	635
518	684	634
519	685	632
520	686	631
521	688	630
522	689	628
523	690	627
524	692	626
525	694	625
526	695	624
527	696	622
528	698	621
529	699	620
530	700	618
531	701	617
532	703	615
533	704	614
534	705	613
535	706	611
536	708	610
537	709	609
538	710	607
539	712	606
540	713	605
541	714	603
542	715	602
543	717	601
544	718	599
545	719	598
546	721	597
547	722	595
548	723	594
549	725	593
550	727	592
551	728	591
552	729	589
553	730	588
554	732	587
555	733	585
556	734	584
557	736	583
558	737	581
559	738	580
560	740	579
561	742	578
562	743	577
563	744	575
564	746	574
565	747	573
566	748	571
567	749	570
568	751	569
569	752	567
570	753	566
571	755	565
572	757	564
573	759	563
574	761	562
575	762	561
576	763	559
577	764	558
578	766	557
579	767	555
580	768	554
581	770	553
582	772	552
583	774	551
584	775	550
585	776	548
586	778	547
587	779	546
588	780	544
589	781	543
590	783	542
591	784	540
592	785	539
593	787	538
594	788	536
595	790	535
596	791	534
597	792	532
598	794	531
599	795	530
600	796	528
601	798	527
602	799	526
603	800	524
604	802	523
605	803	522
606	805	521
607	806	520
608	807	518
609	809	517
610	810	516
611	811	514
612	813	513
613	814	511
614	815	510
615	817	509
616	818	508
617	820	507
618	821	505
619	823	504
620	824	503
621	825	501
622	827	500
623	828	499
624	829	497
625	830	496
626	832	495
627	833	493
628	835	492
629	836	491
630	837	489
631	839	488
632	840	487
633	841	485
634	842	484
635	844	483
636	845	481
637	846	480
638	847	479
639	849	477
640	850	476
641	852	475
642	853	473
643	854	472
644	856	471
645	857	469
646	858	468
647	859	467
648	861	465
649	862	464
650	863	462
651	864	461
652	866	460
653	868	459
654	869	457
655	870	456
656	872	455
657	873	453
658	874	452
659	875	451
660	876	449
661	878	448
662	879	446
663	880	445
664	881	444
665	883	443
666	884	441
667	885	440
668	887	438
669	888	437
670	889	436
671	891	434
672	892	433
673	893	432
674	894	430
675	896	429
676	897	428
677	898	426
678	900	425
679	902	424
680	903	423
681	904	421
682	905	420
683	907	419
684	908	417
685	909	416
686	910	415
687	912	413
688	913	412
689	914	410
690	916	409
691	917	408
692	918	406
693	919	405
694	920	404
695	922	402
696	923	401
697	924	400
698	925	398
699	926	397
700	928	395
701	929	394
702	931	393
703	932	392
704	933	390
705	934	389
706	935	387
707	937	386
708	938	385
709	940	383
710	941	382
711	942	381
712	943	379
713	944	378
714	946	377
715	948	376
716	949	374
717	950	373
718	952	372
719	953	370
720	954	369
721	956	368
722	957	366
723	958	365
724	959	363
725	961	362
726	962	361
727	964	360
728	965	358
729	967	357
730	968	356
731	969	355
732	970	353
733	971	352
734	972	350
735	974	349
736	975	348
737	976	346
738	978	345
739	980	344
740	981	343
741	982	341
742	984	340
743	985	339
744	986	337
745	987	336
746	989	334
747	990	333
748	991	332
749	992	330
750	994	329
751	996	328
752	997	327
753	998	325
754	1000	324
755	1001	323
756	1002	321
757	1004	320
758	1005	319
759	1006	317
760	1007	316
761	1009	315
762	1011	314
763	1012	312
764	1013	311
765	1015	310
766	1016	308
767	1017	307
768	1019	306
769	1020	304
770	1021	303
771	1023	302
772	1024	300
773	1025	299
774	1027	298
775	1028	296
776	1029	295
777	1031	294
778	1032	292
779	1033	291
780	1034	290
781	1036	288
782	1037	287
783	1038	286
784	1040	284
785	1041	283
786	1043	282
787	1044	281
788	1045	279
789	1047	278
790	1048	277
791	1049	275
792	1051	274
793	1052	273
794	1053	271
795	1055	270
796	1056	269
797	1058	268
798	1060	266
799	1061	265
800	1062	264
801	1064	262
802	1065	261
803	1066	260
804	1068	258
805	1069	257
806	1070	256
807	1072	254
808	1073	253
809	1075	252
810	1076	250
811	1078	249
812	1079	248
813	1080	246
814	1082	245
815	1083	244
816	1084	242
817	1086	241
818	1087	240
819	1088	239
820	1090	237
821	1091	236
822	1093	235
823	1094	233
824	1096	232
825	1097	231
826	1098	229
827	1099	228
828	1101	227
829	1102	225
830	1103	224
831	1104	223
832	1106	221
833	1107	220
834	1109	219
835	1110	217
836	1111	216
837	1113	215
838	1114	213
839	1115	212
840	1116	211
841	1118	209
842	1119	208
843	1121	207
844	1122	205
845	1123	204
846	1125	203
847	1126	201
848	1127	200
849	1128	199
850	1130	197
851	1131	196
852	1132	195
853	1133	193
854	1135	192
855	1136	191
856	1137	189
857	1139	188
858	1140	187
859	1142	185
860	1142	184
861	1144	183
862	1145	181
863	1146	180
864	1147	179
865	1149	177
866	1150	176
867	1151	175
868	1153	173
869	1154	172
870	1156	171
871	1157	169
872	1158	168
873	1159	167
874	1160	165
875	1162	164
876	1163	163
877	1164	161
878	1165	160
879	1166	159
880	1168	157
881	1169	156
882	1171	155
883	1172	153
884	1173	152
885	1174	151
886	1175	149
887	1177	148
888	1177	147
889	1179	145
890	1180	144
891	1181	143
892	1182	141
893	1184	140
894	1185	139
895	1187	137
896	1188	136
897	1189	135
898	1190	133
899	1192	132
900	1193	131
901	1194	129
902	1195	128
903	1196	127
904	1198	125
905	1199	124
906	1201	123
907	1202	121
908	1204	120
909	1205	119
910	1206	117
911	1207	116
912	1209	115
913	1210	113
914	1211	112
915	1212	111
916	1213	109
917	1215	108
918	1216	107
919	1217	105
920	1219	104
921	1220	103
922	1221	101
923	1222	100
924	1223	99
925	1225	97
926	1226	96
927	1227	95
928	1229	93
929	1230	92
930	1231	91
931	1233	89
932	1234	88
933	1236	87
934	1237	86
935	1238	84
936	1240	83
937	1241	82
938	1242	80
939	1244	79
940	1245	78
941	1246	76
942	1248	75
943	1249	74
944	1251	72
945	1252	71
946	1254	70
947	1255	68
948	1256	67
949	1257	66
950	1259	64
951	1260	63
952	1262	62
953	1263	60
954	1265	59
955	1267	58
956	1268	57
957	1270	55
958	1271	54
959	1272	53
960	1274	51
961	1275	50
962	1276	49
963	1278	47
964	1279	46
965	1281	45
966	1282	43
967	1284	42
968	1285	41
969	1286	39
970	1287	38
971	1289	37
972	1290	35
973	1291	34
974	1292	33
975	1294	31
976	1295	30
977	1297	29
978	1298	27
979	1299	26
980	1301	25
981	1302	23
982	1303	22
983	1304	21
984	1306	19
985	1307	18
986	1308	17
987	1309	15
988	1311	14
989	1312	13
990	1314	11
991	1315	10
992	1316	9
993	1317	7
994	1319	6
995	1320	5
996	1321	3
997	1322	2
998	1324	1
999	1325	0
