iter	Logloss
0	0.6858202692
1	0.6799026004
2	0.674367657
3	0.6689999202
4	0.6625149231
5	0.6571128308
6	0.6516180473
7	0.6454038397
8	0.6402472383
9	0.6345256553
10	0.6290663147
11	0.6237983702
12	0.6184320673
13	0.6141569764
14	0.6096973532
15	0.6049839646
16	0.6005705692
17	0.5969266139
18	0.5929401615
19	0.5893257454
20	0.5848321009
21	0.5808877952
22	0.576709336
23	0.5729315238
24	0.5689736221
25	0.564843311
26	0.5607774412
27	0.5577207917
28	0.5551072528
29	0.5523754844
30	0.5489635536
31	0.5453445771
32	0.5423375425
33	0.5390155699
34	0.5352785425
35	0.5317232957
36	0.5290232404
37	0.5256987654
38	0.5223681745
39	0.5197783109
40	0.5169420711
41	0.5144872972
42	0.5130727172
43	0.5103672955
44	0.5077788577
45	0.5053573095
46	0.5025631819
47	0.5000001797
48	0.4976776232
49	0.4957643159
50	0.4929110768
51	0.4905373352
52	0.488104864
53	0.485963123
54	0.4838731616
55	0.4819362747
56	0.4804028704
57	0.4786874669
58	0.4762756994
59	0.4742749901
60	0.4725707551
61	0.4703542264
62	0.4689041067
63	0.4676251988
64	0.4663658038
65	0.4645636802
66	0.4629293556
67	0.4612380943
68	0.4600986781
69	0.4586971488
70	0.4569274056
71	0.4551747805
72	0.4539296081
73	0.4520841625
74	0.4506079022
75	0.4492358862
76	0.4478055254
77	0.4462924202
78	0.444927147
79	0.4437026015
80	0.4423424553
81	0.4410107411
82	0.4400840599
83	0.4387682145
84	0.4373286898
85	0.4358733964
86	0.4346172866
87	0.4331998383
88	0.4319171912
89	0.4309560869
90	0.429745871
91	0.4288832738
92	0.4276707311
93	0.4268434713
94	0.4257718469
95	0.4248895068
96	0.4237901069
97	0.422800595
98	0.4217486857
99	0.4206517211
100	0.4199790911
101	0.4190833196
102	0.4184114961
103	0.417549614
104	0.4165506684
105	0.4154083169
106	0.4144175603
107	0.4139035504
108	0.4129501139
109	0.4121337451
110	0.4114203624
111	0.4107909249
112	0.4099900143
113	0.4093650273
114	0.4086826084
115	0.4084520824
116	0.4076613535
117	0.4072402504
118	0.4066399941
119	0.4058648034
120	0.4051957691
121	0.4046300016
122	0.4039834003
123	0.4030424223
124	0.4027408272
125	0.4018788659
126	0.4014727448
127	0.4008135404
128	0.4002023311
129	0.3998694787
130	0.3995519709
131	0.3988427708
132	0.3981359012
133	0.3975485313
134	0.39733626
135	0.396878883
136	0.3962433919
137	0.395856268
138	0.3952563452
139	0.3946968932
140	0.3945158438
141	0.3942403
142	0.3936244831
143	0.3932618859
144	0.3928153727
145	0.3920393204
146	0.391397852
147	0.3909491723
148	0.3905901355
