iter	Passed	Remaining
0	3	3612
1	6	3159
2	7	2648
3	10	2510
4	13	2690
5	17	2817
6	20	2879
7	23	2879
8	25	2755
9	27	2694
10	30	2740
11	33	2788
12	36	2789
13	38	2707
14	40	2684
15	49	3044
16	51	2969
17	52	2880
18	56	2926
19	60	2958
20	63	2946
21	65	2929
22	69	2941
23	72	2934
24	77	3008
25	82	3081
26	86	3127
27	88	3072
28	91	3065
29	96	3107
30	100	3149
31	105	3200
32	109	3206
33	114	3249
34	118	3264
35	120	3238
36	124	3252
37	127	3219
38	129	3199
39	133	3193
40	137	3211
41	141	3222
42	142	3180
43	145	3154
44	147	3127
45	150	3110
46	152	3097
47	155	3086
48	159	3091
49	161	3070
50	164	3057
51	167	3053
52	169	3036
53	172	3030
54	175	3020
55	178	3017
56	180	2988
57	182	2957
58	184	2934
59	186	2915
60	187	2887
61	189	2860
62	191	2842
63	192	2814
64	193	2786
65	195	2762
66	196	2741
67	198	2720
68	199	2695
69	201	2677
70	203	2667
71	206	2657
72	209	2663
73	211	2651
74	214	2641
75	216	2629
76	219	2630
77	222	2626
78	224	2621
79	226	2607
80	228	2593
81	230	2577
82	231	2560
83	233	2545
84	235	2537
85	237	2524
86	239	2509
87	241	2504
88	243	2488
89	244	2472
90	245	2456
91	247	2440
92	248	2425
93	250	2416
94	252	2402
95	253	2391
96	255	2377
97	257	2366
98	258	2352
99	259	2338
100	261	2324
101	262	2311
102	263	2297
103	265	2287
104	267	2277
105	268	2264
106	269	2252
107	271	2240
108	272	2228
109	273	2216
110	275	2204
111	276	2192
112	277	2180
113	279	2169
114	280	2160
115	281	2146
116	283	2137
117	284	2127
118	286	2118
119	287	2108
120	289	2099
121	290	2090
122	291	2081
123	293	2072
124	294	2063
125	296	2054
126	298	2050
127	299	2040
128	300	2031
129	302	2023
130	303	2014
131	304	2005
132	306	1997
133	307	1989
134	308	1977
135	310	1969
136	311	1961
137	313	1958
138	315	1952
139	316	1944
140	317	1934
141	319	1927
142	320	1920
143	321	1912
144	323	1906
145	325	1901
146	326	1895
147	328	1893
148	331	1891
149	333	1890
150	335	1885
151	337	1880
152	338	1876
153	340	1871
154	342	1866
155	345	1866
156	346	1861
157	348	1856
158	349	1850
159	351	1845
160	353	1839
161	354	1834
162	356	1828
163	357	1824
164	359	1817
165	362	1819
166	363	1813
167	365	1810
168	367	1804
169	368	1800
170	370	1795
171	371	1789
172	373	1784
173	374	1778
174	376	1773
175	378	1771
176	380	1767
177	381	1763
178	383	1758
179	384	1753
180	386	1748
181	387	1743
182	389	1739
183	391	1737
184	394	1735
185	395	1732
186	397	1728
187	413	1784
188	414	1780
189	416	1775
190	418	1770
191	419	1765
192	420	1758
193	422	1754
194	424	1750
195	426	1747
196	427	1743
197	429	1738
198	430	1733
